IconclassURI,Emojiconclass,IconclassLabel
http://iconclass.org/13C,🎩🐇,"magic signs and objects (numbers, words, etc.)"
http://iconclass.org/13D,🧿,"enchantment (evil eye, transformation, healings, etc.)"
http://iconclass.org/13E,🔮🤔,"divination, prognostication ~ magic"
http://iconclass.org/13F,,microcosmos ~ macrocosmos
http://iconclass.org/13G,,"superstition, popular belief"
http://iconclass.org/13H,,parapsychology
http://iconclass.org/140,,'Astrologia' (Ripa)
http://iconclass.org/14A,,astrologer at work
http://iconclass.org/14B,,horoscope
http://iconclass.org/14C,,astrological signs and symbols
http://iconclass.org/210,,"'Elementi', 'Elementi secondo Empedocle' (Ripa)"
http://iconclass.org/21A,🌬️,air (one of the four elements)
http://iconclass.org/21B,,earth (one of the four elements)
http://iconclass.org/21C,🔥,fire (one of the four elements)
http://iconclass.org/21D,💧,water (one of the four elements)
http://iconclass.org/21E,,ether as 'quinta essentia'
http://iconclass.org/22A,,matter
http://iconclass.org/22B,⚡🧲,electricity and magnetism
http://iconclass.org/22C,💡,light
http://iconclass.org/22D,👂,sound
http://iconclass.org/22E,🌡️,temperature
http://iconclass.org/23A,🖼️⏳,allegory of Time and Eternity
http://iconclass.org/23B,,period of more than one year
http://iconclass.org/23C,⏳☀️,"year, solar year"
http://iconclass.org/23D,,"seasons of the year (esp. personifications); 'Stagione', 'Le quattro stagione dell'anno' (Ripa)"
http://iconclass.org/23E,,"seasons of the year represented by scenes showing human activities, usually in a landscape"
http://iconclass.org/23F,,seasons of the year represented by landscapes
http://iconclass.org/23G,,seasons of the year represented by still lifes of flowers and/or fruits
http://iconclass.org/23H,,"seasons of the year represented by concepts other than personifications, human activities, landscapes, or still lifes of flowers and/or fruits (e.g. biblical scenes)"
http://iconclass.org/23I,,the twelve months (especially personifications); 'Mese in generale' (Ripa)
http://iconclass.org/23K,,"the twelve months represented by scenes showing human activities, usually in a landscape; so-called 'labours of the months'"
http://iconclass.org/23L,,the twelve months represented by landscapes
http://iconclass.org/23M,,the twelve months represented by still lifes of flowers and/or fruits
http://iconclass.org/23N,,"the twelve months of the year represented by concepts other than personifications, human activities, landscapes, or still lifes of flowers and/or fruits"
http://iconclass.org/23O,,zodiac; the twelve zodiacal signs together
http://iconclass.org/23P,,weeks
http://iconclass.org/23Q,,days of the week
http://iconclass.org/23R,,day and night
http://iconclass.org/23S,,the empires of the world
http://iconclass.org/23T,📜⌛,historical epochs
http://iconclass.org/23U,,chronology
http://iconclass.org/240,🌌🖼️,allegorical representation of the heavens (celestial bodies)
http://iconclass.org/24A,🌌☀️,sun as celestial body
http://iconclass.org/24B,🌌🌙,moon as celestial body
http://iconclass.org/24C,🌌🪐,planets (except the earth)
http://iconclass.org/24D,🌌🌟,stars
http://iconclass.org/24E,🌌🤷,astronomical phenomena
http://iconclass.org/24F,,"firmament, sky"
http://iconclass.org/24G,,spheres ~ heavens
http://iconclass.org/250,,"'Mondo', 'Machina del mondo' (Ripa)"
http://iconclass.org/25A,🗺️,"maps, atlases"
http://iconclass.org/25B,🗺️🖼️,continents represented allegorically
http://iconclass.org/25C,,geological phenomena
http://iconclass.org/25D,🪨🤷,rock types; minerals and metals; soil types
http://iconclass.org/25E,,geological-chronological division; historical geology; geological era
http://iconclass.org/25F,🐾,animals
http://iconclass.org/25G,🌿,plants; vegetation
http://iconclass.org/25H,🏞️🖼️,landscapes
http://iconclass.org/25I,🏙️🏞️🖼️,"city-view, and landscape with man-made constructions"
http://iconclass.org/25K,🏝️🖼️,"landscapes in the non-temperate zone, exotic landscapes"
http://iconclass.org/25L,🏙️🖼️,cities represented allegorically or symbolically
http://iconclass.org/25M,,the Seven Wonders of the World
http://iconclass.org/25N,🗺️🦄,fictitious countries
http://iconclass.org/26A,☁️,clouds
http://iconclass.org/26B,🌧️,rain
http://iconclass.org/26D,❄️,"frost, freezing weather"
http://iconclass.org/26E,⛈️,thunderstorm
http://iconclass.org/26F,⛅,good and bad weather
http://iconclass.org/26G,🏜️👀,"mirage, 'fata morgana'"
http://iconclass.org/26H,,still other meteorological phenomena
http://iconclass.org/29A,,animals acting as human beings
http://iconclass.org/29B,,plants behaving as human beings or animals
http://iconclass.org/29C,🤖💓,"objects coming to life, e.g. puppets"
http://iconclass.org/29D,,"natural forms in stones, wood, clouds, etc. interpreted as representations"
http://iconclass.org/31A,🧖,the (nude) human figure; 'Corpo humano' (Ripa)
http://iconclass.org/31B,,"mind, spirit"
http://iconclass.org/31C,,spirit (or soul) versus body
http://iconclass.org/31D,,"human life and its ages (young, adult, old, etc.)"
http://iconclass.org/31E,,death of human being
http://iconclass.org/31F,,symbols and personifications of Death
http://iconclass.org/31G,,the soul
http://iconclass.org/32A,,human types
http://iconclass.org/32B,,human races; peoples; nationalities
http://iconclass.org/32C,,scientific classification of human races
http://iconclass.org/33A,,non-aggressive relationships
http://iconclass.org/33B,😠,"aggressive relationships, enmity, animosity"
http://iconclass.org/33C,,relations between the sexes
http://iconclass.org/34A,,taming and training of animals
