IconclassURI,Emojiconclass,IconclassLabel
http://iconclass.org/47G335,,making the interior decoration
http://iconclass.org/47G336,,"making ducts for water, gas and electricity"
http://iconclass.org/47G341,,ceremony ~ putting a building into use
http://iconclass.org/47G531,,mud ~ building material
http://iconclass.org/47G532,,"tiles, bricks ~ building material"
http://iconclass.org/47G533,,concrete ~ building material
http://iconclass.org/47G534,,glass ~ building material
http://iconclass.org/47G541,,"reeds, rushes ~ building material"
http://iconclass.org/47G542,,twigs ~ building material
http://iconclass.org/47G543,,"wood, timber ~ building material"
http://iconclass.org/47G551,,"skins, leather ~ building material"
http://iconclass.org/47H111,,flax (material ~ textile industry)
http://iconclass.org/47H131,,silkworm
http://iconclass.org/47H132,,cocoon of the silkworm
http://iconclass.org/47H211,,hackle
http://iconclass.org/47H311,,distaff
http://iconclass.org/47H312,,spindle
http://iconclass.org/47H313,,spinning-wheel
http://iconclass.org/47H351,,winding of yarn on reels or spools
http://iconclass.org/47H352,,(ball of) yarn
http://iconclass.org/47H411,,"ropery, rope-walk"
http://iconclass.org/47H461,,weaving without pattern
http://iconclass.org/47H462,,weaving with pattern
http://iconclass.org/47H463,,weaving-loom
http://iconclass.org/47H511,,dyeing without pattern
http://iconclass.org/47H512,,dyeing of cloth with pattern; batik-work
http://iconclass.org/47H521,,painting of cloth
http://iconclass.org/47H531,,special processes for linen fabric
http://iconclass.org/47H532,,special processes for cotton fabric
http://iconclass.org/47H533,,special processes for silk fabric
http://iconclass.org/47H534,,special processes for woollen fabric
http://iconclass.org/47H535,,special processes for synthetic material
http://iconclass.org/47H536,,special processes for other material
http://iconclass.org/47H711,,tailor's dummy
http://iconclass.org/47H712,,tracing wheel
http://iconclass.org/47H713,,thimble
http://iconclass.org/47H731,,last (shoe-maker's tool)
http://iconclass.org/47I111,,"cereal, grain, corn (grass with grains, grown for food, e.g.: wheat, rice, rye, oats, maize, buckwheat, millet)"
http://iconclass.org/47I112,,"plants cultivated for their edible roots or tubers, e.g. potato, turnip"
http://iconclass.org/47I119,,weeds
http://iconclass.org/47I121,,"fertilizing, manuring of the soil"
http://iconclass.org/47I122,,spading ~ soil cultivation
http://iconclass.org/47I123,,ploughing
http://iconclass.org/47I124,,harrowing
http://iconclass.org/47I125,,rolling ~ soil cultivation
http://iconclass.org/47I126,,weeding
http://iconclass.org/47I127,,hoeing (weeding)
http://iconclass.org/47I128,,raking
http://iconclass.org/47I131,,sowing
http://iconclass.org/47I132,,"transplanting, setting out plants"
http://iconclass.org/47I133,,propagation of plants
http://iconclass.org/47I134,,"slipping, grafting, cutting of plants"
http://iconclass.org/47I135,,pruning
http://iconclass.org/47I136,,covering (of plants)
http://iconclass.org/47I137,,spraying (of plants)
http://iconclass.org/47I138,,watering (of plants ~ agriculture)
http://iconclass.org/47I139,,draining ~ cultivation
http://iconclass.org/47I141,,"reaping, picking, mowing ~ harvest"
http://iconclass.org/47I142,,binding ~ harvest
http://iconclass.org/47I143,,stocking (on the field)
http://iconclass.org/47I144,,gleaning
http://iconclass.org/47I145,,transporting ~ harvest
http://iconclass.org/47I146,,piling up ~ harvest
http://iconclass.org/47I147,,storing ~ harvest
http://iconclass.org/47I148,,threshing
http://iconclass.org/47I149,,"rest during harvest (eating, dancing, making love, etc.)"
http://iconclass.org/47I211,,bovine cattle
http://iconclass.org/47I212,,pig
http://iconclass.org/47I213,,sheep
http://iconclass.org/47I214,🐐,goat
http://iconclass.org/47I215,,other cattle
http://iconclass.org/47I221,🧲🐑,"herding, herdsman, herdswoman, shepherd, shepherdess, cowherd, etc."
http://iconclass.org/47I222,🌾🐄,"giving water, feeding (cattle)"
http://iconclass.org/47I223,🐄🥛,milking
http://iconclass.org/47I224,🐑✂️,shearing (sheep)
http://iconclass.org/47I225,🐄❤️🐄,breeding ~ cattle
http://iconclass.org/47I226,🐄🔥🏷️,"branding, marking ~ cattle"
http://iconclass.org/47I227,🐄🏠🧼,cleaning the stalls
http://iconclass.org/47I228,🧲🐄,"cattle driving, cattle driver"
http://iconclass.org/47I229,🐄🤠,on the trail ~ cattle
http://iconclass.org/47I241,🐝,bee-keeper
http://iconclass.org/47I242,🐝🏠,bee-hive
http://iconclass.org/47I243,🐝🐝,swarm ~ bees
http://iconclass.org/47I244,🐝🚜,bees ~ apiculture
http://iconclass.org/47I311,,forcing bed
http://iconclass.org/47I312,,"glass bell, glass cover ~ horticulture"
http://iconclass.org/47I411,🌳🍎,orchard
http://iconclass.org/47I412,,espalier
http://iconclass.org/47I413,,fruit harvest
http://iconclass.org/47I421,🌳🍇🚜,vineyard
http://iconclass.org/47I422,🌳🍇,vine
http://iconclass.org/47I423,,"vintage, grape harvest"
http://iconclass.org/47I424,,wine production
http://iconclass.org/47I425,,"wine-vault, 'cave'"
http://iconclass.org/47I426,,bottling of wine
http://iconclass.org/47I521,,garden of medicinal herbs
http://iconclass.org/47I531,,"hot-house, glass-house"
http://iconclass.org/47I541,,bulb field
http://iconclass.org/47I831,,charcoal furnace
http://iconclass.org/47I861,,clearing ~ forest
http://iconclass.org/47I862,,"making of paths, roads in forest"
http://iconclass.org/47I863,,planting ~ forest
http://iconclass.org/47I871,,"transport of timber, timber-trailer"
http://iconclass.org/47I872,,"beam, log of wood"
http://iconclass.org/48A111,,patron (or client) visiting the artist
http://iconclass.org/48A211,,positive criticism by (professional) critic
http://iconclass.org/48A212,,positive criticism by the public
http://iconclass.org/48A220,,the arts ~ 'Invidia et Ignorantia'
http://iconclass.org/48A221,,negative criticism by (professional) critic
http://iconclass.org/48A222,,negative criticism by the public
http://iconclass.org/48A231,,'Paragone'
http://iconclass.org/48A251,,favourable reputation; artistic fame
http://iconclass.org/48A252,,unfavourable reputation (of artist)
http://iconclass.org/48A311,,distribution of awards ~ art contest
http://iconclass.org/48A591,,recuperation of the arts
http://iconclass.org/48A711,,rehearsal ~ work of art
http://iconclass.org/48A712,,the audience ~ art performance
http://iconclass.org/48A713,,interval ~ art performance
http://iconclass.org/48A721,,theatre (building)
http://iconclass.org/48A722,,concert hall
http://iconclass.org/48A723,,opera house
http://iconclass.org/48A724,,music-hall
http://iconclass.org/48A725,,"cinema, movie-house"
http://iconclass.org/48A726,,cabaret (locality)
http://iconclass.org/48A729,,front of house of buildings used for performances
http://iconclass.org/48A811,,art collector
http://iconclass.org/48A821,🏛️🏺🖼️,"permanent exhibition, museum"
http://iconclass.org/48A822,🏛️🏺🖼️🗓️,"temporary exhibition, 'Salon'"
http://iconclass.org/48A831,,art dealer
http://iconclass.org/48A832,,"art sale, auction"
http://iconclass.org/48A981,,ornament ~ geometric motifs
http://iconclass.org/48A982,,anthropomorphic ornament
http://iconclass.org/48A983,🌿🏺,ornament derived from plant forms
http://iconclass.org/48A984,,ornament derived from animal forms
http://iconclass.org/48A985,,ornament derived from objects
http://iconclass.org/48A986,,fantasy ornament
http://iconclass.org/48A987,,frequently used ornamental compositions
http://iconclass.org/48AA72,,buildings for performances - AA - open-air performances
http://iconclass.org/48B101,,the artist and his muse (in general)
http://iconclass.org/48B111,,studio requisites (artist in general)
http://iconclass.org/48B121,,"artist (in general) making preliminary designs, sketching"
http://iconclass.org/48B122,,artist (in general) studying classical remains
http://iconclass.org/48B123,,artist (in general) making a model
http://iconclass.org/48B124,,artist (in general) working from live model
http://iconclass.org/48B141,,"place or institution of education and training of the artist, e.g.: academy of art"
http://iconclass.org/48B142,,prodigious talent of the young artist
http://iconclass.org/48B143,,artist training pupils
http://iconclass.org/48B411,,coat of arms of Guild of St. Luke
http://iconclass.org/48BB10,,inspiration of the artist (in general) - BB - out of doors
http://iconclass.org/48BB11,,"workshop, studio of the artist (in general) - BB - out of doors"
http://iconclass.org/48BB12,,working situations of artist - BB - out of doors
http://iconclass.org/48BB13,,"artist's model, sitter - BB - out of doors"
http://iconclass.org/48BB14,,"education, tuition of the artist (in general) - BB - out of doors"
http://iconclass.org/48BB15,,artist at work with assistants or pupils - BB - out of doors
http://iconclass.org/48BB19,,artist destroying his own work - BB - out of doors
http://iconclass.org/48C101,,origin of architecture
http://iconclass.org/48C111,,"designing, sketching ~ architect"
http://iconclass.org/48C112,,architect studying ancient architecture
http://iconclass.org/48C113,,architect offering design or model to patron
http://iconclass.org/48C114,,architect supervising building activities
http://iconclass.org/48C141,,representation of real building (either existing or having existed)
http://iconclass.org/48C142,,architectural design or model
http://iconclass.org/48C143,,ideal and visionary architecture
http://iconclass.org/48C144,,architectural folly
http://iconclass.org/48C145,,"architectural settings in paintings, sculptures, etc."
http://iconclass.org/48C149,,ruin of a building ~ architecture
http://iconclass.org/48C161,,"column, pillar ~ architecture"
http://iconclass.org/48C162,,"arch, archivolt ~ architecture"
http://iconclass.org/48C163,,"orders, order-books ~ architecture"
http://iconclass.org/48C164,,constructive (architectural) parts ~ human beings
http://iconclass.org/48C165,,mouldings ~ architecture
http://iconclass.org/48C166,,surface decorations ~ architecture
http://iconclass.org/48C167,,"pavement, floor ~ architecture"
http://iconclass.org/48C168,,other architectural details
http://iconclass.org/48C211,,"sculptor making a model, bozzetto"
http://iconclass.org/48C212,,(hollow) casting
http://iconclass.org/48C213,,sculptor studying classical remains
http://iconclass.org/48C241,,gallery of sculptures
http://iconclass.org/48C242,,wax-figure cabinet
http://iconclass.org/48C243,,caricature of a piece of sculpture
http://iconclass.org/48C244,,pedestal of a piece of sculpture (perhaps in the form of a herm)
http://iconclass.org/48C311,,"jeweller, goldsmith, silversmith"
http://iconclass.org/48C312,,craftsman ~ base metal
http://iconclass.org/48C313,,"potter, ceramist"
http://iconclass.org/48C314,,glass-blower
http://iconclass.org/48C315,,"tapestry weaver, gobelin maker"
http://iconclass.org/48C316,,"joiner, cabinet maker, 'ébéniste'"
http://iconclass.org/48C351,,"decorating 'en relief', appliquéing"
http://iconclass.org/48C352,,decorating 'en creux'
http://iconclass.org/48C353,,flat decoration ~ applied arts
http://iconclass.org/48C361,,industrial designer
http://iconclass.org/48C411,,mosaicist
http://iconclass.org/48C412,,mural painter
http://iconclass.org/48C413,,stained-glass artist
http://iconclass.org/48C510,,"'Pictura', symbolic representations, allegories and emblems ~ painting; 'Pittura' (Ripa)"
http://iconclass.org/48C511,,"painter at work, in his studio"
http://iconclass.org/48C512,,painter in non-work situation
http://iconclass.org/48C513,🤳🧑‍🎨,"portrait, self-portrait of painter"
http://iconclass.org/48C514,🖼️👈,"picture, painting"
http://iconclass.org/48C515,🧰🧑‍🎨,"tools, implements of painter"
http://iconclass.org/48C520,,"symbolic representations, allegories and emblems ~ drawing"
http://iconclass.org/48C521,,draughtsman at work
http://iconclass.org/48C522,,draughtsman in non-work situation
http://iconclass.org/48C523,,"portrait, self-portrait of draughtsman"
http://iconclass.org/48C524,,"drawing, sketch"
http://iconclass.org/48C525,,"tools, implements of draughtsman"
http://iconclass.org/48C530,,"symbolic representations, allegories and emblems ~ the graphic arts"
http://iconclass.org/48C531,,graphic artist
http://iconclass.org/48C532,,"portrait, self-portrait of graphic artist"
http://iconclass.org/48C533,,"print, e.g.: engraving, etching, lithograph"
http://iconclass.org/48C534,,"tools, implements of graphic artist"
http://iconclass.org/48C610,,"symbolic representations, allegories and emblems ~ photography"
http://iconclass.org/48C611,,photographer at work
http://iconclass.org/48C612,,photographer in non-work situation
http://iconclass.org/48C613,,"portrait, self-portrait of photographer"
http://iconclass.org/48C614,,photograph
http://iconclass.org/48C615,,photographic apparatus
http://iconclass.org/48C620,,"symbolic representations, allegories and emblems ~ cinematography"
http://iconclass.org/48C621,,cinematographer at work
http://iconclass.org/48C622,,cinematographer in non-work situation
http://iconclass.org/48C623,,"portrait, self-portrait of cinematographer"
http://iconclass.org/48C624,,"film, celluloid"
http://iconclass.org/48C625,,cinematographic apparatus
http://iconclass.org/48C701,,origin of music
http://iconclass.org/48C702,,magic power of music
http://iconclass.org/48C711,,composer at work
http://iconclass.org/48C712,,composer in non-work situation
http://iconclass.org/48C713,,portrait of composer
http://iconclass.org/48C721,,musician at work
http://iconclass.org/48C722,,musician in non-work situation
http://iconclass.org/48C723,,portrait of a musician
http://iconclass.org/48C731,,string instruments (bowed)
http://iconclass.org/48C732,,string instruments (plucked)
http://iconclass.org/48C733,,keyboard instruments
http://iconclass.org/48C734,,percussion instruments
http://iconclass.org/48C735,,wind instruments
http://iconclass.org/48C736,,instruments ~ popular music
http://iconclass.org/48C737,,"improvised musical instruments (kitchen-utensils, etc.)"
http://iconclass.org/48C738,,"accessories ~ music: metronome, music-stand, tuning-fork, etc."
http://iconclass.org/48C741,,printed edition of musical score
http://iconclass.org/48C742,,manuscript of musical score
http://iconclass.org/48C743,🎼💭,musical theory
http://iconclass.org/48C751,,"one person with musical instrument, not playing"
http://iconclass.org/48C752,,one person playing an instrument
http://iconclass.org/48C753,,more than one musician with instrument
http://iconclass.org/48C754,,instrumental and vocal music together
http://iconclass.org/48C755,,"vocal music, singing"
http://iconclass.org/48C756,,"popular music, street music"
http://iconclass.org/48C761,,musical box
http://iconclass.org/48C762,,"street-organ, 'pierement'"
http://iconclass.org/48C763,,pianola; orchestrion
http://iconclass.org/48C771,,baton ~ conductor
http://iconclass.org/48C801,,"symbolic representations, allegories and emblems ~ dance and ballet"
http://iconclass.org/48C802,,"symbolic representations, allegories and emblems ~ the theatre"
http://iconclass.org/48C803,,"symbolic representations, allegories and emblems ~ musical drama"
http://iconclass.org/48C804,,"symbolic representations, allegories, emblems ~ motion picture"
http://iconclass.org/48C811,,stage design
http://iconclass.org/48C812,,behind the stage
http://iconclass.org/48C813,,"set, scenery ~ stage"
http://iconclass.org/48C814,,dressing-room ~ stage
http://iconclass.org/48C821,,"director, producer ~ the stage"
http://iconclass.org/48C822,,choreographer
http://iconclass.org/48C823,,prompter
http://iconclass.org/48C824,,stage-hand
http://iconclass.org/48C831,,"portrait of artiste (dancer, actor, etc.)"
http://iconclass.org/48C832,,artiste in other non-work situation
http://iconclass.org/48C841,,training ~ ballet
http://iconclass.org/48C842,,ballet group; dancers on the stage
http://iconclass.org/48C843,,"ballet steps, positions"
http://iconclass.org/48C844,,ballet dress
http://iconclass.org/48C851,,"rehearsal, studying the role ~ theatre"
http://iconclass.org/48C852,,"group of actors, troupe; actors on the stage"
http://iconclass.org/48C853,,stage costume
http://iconclass.org/48C854,,theatrical genres
http://iconclass.org/48C855,,puppet and marionette show
http://iconclass.org/48C856,,shadow-play
http://iconclass.org/48C861,,"rehearsal, studying the role ~ musical drama"
http://iconclass.org/48C862,,opera
http://iconclass.org/48C863,,"operetta, musical, 'Singspiel'"
http://iconclass.org/48C864,,cabaret
http://iconclass.org/48C865,,"vaudeville, variety-show"
http://iconclass.org/48C871,,actors on the screen
http://iconclass.org/48C872,,film explicator
http://iconclass.org/48C873,,genres ~ film
http://iconclass.org/48C901,,"symbolic representations, allegories and emblems ~ poetry; 'Poesia' (Ripa)"
http://iconclass.org/48C902,,"symbolic representations, allegories and emblems ~ prose"
http://iconclass.org/48C910,,inspiration of the poet; 'Furore poetico' (Ripa)
http://iconclass.org/48C911,🧑✍️⚙️,"author, poet writing"
http://iconclass.org/48C912,,'poète maudit'
http://iconclass.org/48C913,📖👀✍️,author reading from his own work
http://iconclass.org/48C919,✍️📖🔥,author destroying his own work
http://iconclass.org/48C921,,"Fame ~ writer, 'poeta laureatus'"
http://iconclass.org/48CC21,,sculptor at work - CC - out of doors
http://iconclass.org/48CC70,,"'Musica', symbolic representations, allegories and emblems ~ music; 'Musica'(Ripa) - CC - out of doors"
http://iconclass.org/48CC71,,composer - CC - out of doors
http://iconclass.org/48CC72,,musician - CC - out of doors
http://iconclass.org/48CC73,,musical instruments; group of musical instruments - CC - out of doors
http://iconclass.org/48CC74,,notation of music - CC - out of doors
http://iconclass.org/48CC75,,making music; musician with instrument - CC - out of doors
http://iconclass.org/48CC76,,'automatic' music - CC - out of doors
http://iconclass.org/48CC77,,conductor ~ music - CC - out of doors
http://iconclass.org/48CC78,,listening to music - CC - out of doors
http://iconclass.org/49B211,,"being brought to school, first school-day"
http://iconclass.org/49B241,,"child teaching teacher, parents, or other adults"
http://iconclass.org/49B251,,"limitation of freedom (in school); standing in the corner, keeping in, etc."
http://iconclass.org/49B252,,"corporal punishment at school: castigating, beating, etc."
http://iconclass.org/49B253,,doing lines ~ punishment at school
http://iconclass.org/49B411,,founding of a university
http://iconclass.org/49B412,,"board, dignitaries of a university"
http://iconclass.org/49B413,,beadle
http://iconclass.org/49B414,,"insignia, seal ~ university"
http://iconclass.org/49B415,,faculties ~ university
http://iconclass.org/49B416,,"university building, college"
http://iconclass.org/49B421,,lecture ~ university
http://iconclass.org/49B422,,examination ~ university
http://iconclass.org/49B423,,receiving doctor's degree
http://iconclass.org/49B431,,group of professors
http://iconclass.org/49B441,,studying ~ university
http://iconclass.org/49B442,,student life
http://iconclass.org/49BB43,,professor - BB - female professor
http://iconclass.org/49BB44,,student - BB - female student
http://iconclass.org/49C011,,"scientist renouncing the world, 'ivory tower'"
http://iconclass.org/49C111,,'Grammatica' (~ trivium); 'Grammatica' (Ripa)
http://iconclass.org/49C112,,'Dialectica' (~ trivium); 'Dialettica' (Ripa)
http://iconclass.org/49C113,,"'Rhetorica', 'Eloquentia' (~ trivium); 'Rettorica' (Ripa)"
http://iconclass.org/49C121,,'Arithmetica' (~ quadrivium); 'Aritmetica' (Ripa)
http://iconclass.org/49C122,,'Geometria' (~ quadrivium); 'Geometria' (Ripa)
http://iconclass.org/49C123,,'Astronomia' (~ quadrivium); 'Astronomia' (Ripa)
http://iconclass.org/49C124,,'Musica' (~ quadrivium); 'Musica' (Ripa)
http://iconclass.org/49C131,,the liberal arts together with Philosophy or Wisdom
http://iconclass.org/49C151,,'Artes Vulgares'
http://iconclass.org/49C161,,Theology (as one of the faculties)
http://iconclass.org/49C162,,Jurisprudence (as one of the faculties)
http://iconclass.org/49C163,,Medicine (as one of the faculties)
http://iconclass.org/49C164,,Philosophy (as one of the faculties)
http://iconclass.org/49C201,,'Philosophia' discussing with philosopher
http://iconclass.org/49C211,,"metaphysics, 'Metaphysica'; 'Metafisica' (Ripa)"
http://iconclass.org/49C212,,"logic, 'Logica'; 'Logica' (Ripa)"
http://iconclass.org/49C213,,theory of knowledge
http://iconclass.org/49C214,💭💅,aesthetics
http://iconclass.org/49D110,🔢🔣,number symbolism
http://iconclass.org/49D121,➕,addition
http://iconclass.org/49D122,➖,subtraction
http://iconclass.org/49D123,✖️,multiplication
http://iconclass.org/49D124,➗,division
http://iconclass.org/49D131,,decimal scale
http://iconclass.org/49D132,,binary scale
http://iconclass.org/49D133,🔢📏🤷,other scales of notation
http://iconclass.org/49D321,,straight line
http://iconclass.org/49D322,,curved line
http://iconclass.org/49D331,,isosceles triangle
http://iconclass.org/49D332,,equilateral triangle
http://iconclass.org/49D333,,right-angled triangle
http://iconclass.org/49D341,,irregular quadrilateral
http://iconclass.org/49D342,,regular quadrilateral
http://iconclass.org/49D351,,irregular polygon
http://iconclass.org/49D352,,regular polygon
http://iconclass.org/49D361,,segment of circle
http://iconclass.org/49D362,,quadrature of the circle
http://iconclass.org/49D363,,circumference of a circle
http://iconclass.org/49D364,,radius of a circle
http://iconclass.org/49D365,,centre of a circle
http://iconclass.org/49D366,,diameter of a circle
http://iconclass.org/49D371,,ellipse
http://iconclass.org/49D372,,parabola
http://iconclass.org/49D373,,hyperbola
http://iconclass.org/49D421,,edge ~ stereometry
http://iconclass.org/49D431,,triangular prism
http://iconclass.org/49D432,,quadrangular prism
http://iconclass.org/49D433,,parallelepiped
http://iconclass.org/49D441,,triangular pyramid
http://iconclass.org/49D442,,quadrangular pyramid
http://iconclass.org/49D451,,tetrahedron
http://iconclass.org/49D452,,"hexahedron, cube"
http://iconclass.org/49D453,,octahedron
http://iconclass.org/49D454,,dodecahedron
http://iconclass.org/49D455,,icosahedron
http://iconclass.org/49D456,,other polyhedrons
http://iconclass.org/49D461,,"helix, three-dimensional spiral"
http://iconclass.org/49D471,,truncated cone
http://iconclass.org/49D481,,ellipsoid of revolution
http://iconclass.org/49D511,,drawing-instruments
http://iconclass.org/49D521,📏,measuring-instruments
http://iconclass.org/49D531,🧮,calculating-instruments
http://iconclass.org/49D541,💻,"laptop, notebook"
http://iconclass.org/49D542,,tablet computer
http://iconclass.org/49E111,,observatory (~ astronomy)
http://iconclass.org/49E112,📡🔭,radio-telescope (~ astronomy)
http://iconclass.org/49E121,,star-globe
http://iconclass.org/49E122,,"armillary sphere, skeleton celestial globe"
http://iconclass.org/49E123,,"orrery, planetarium"
http://iconclass.org/49E131,🌌🌍🌌💭,geocentric theory (cosmology)
http://iconclass.org/49E132,🌌☀️🌌💭,heliocentric theory (cosmology)
http://iconclass.org/49E133,,theory of the expanding universe (cosmology)
http://iconclass.org/49E210,,'Fisica' (Ripa)
http://iconclass.org/49E211,,general principles of physics
http://iconclass.org/49E212,,quantum theory
http://iconclass.org/49E220,,'Mecanica' (Ripa)
http://iconclass.org/49E221,,"dynamics, kinetics"
http://iconclass.org/49E222,🍎️💭,gravitation
http://iconclass.org/49E223,🌊⚙️💭,"fluid mechanics, hydraulics"
http://iconclass.org/49E224,💨⚙️💭,"gasdynamics, aerodynamics"
http://iconclass.org/49E251,👁️🔬,optical instruments
http://iconclass.org/49E252,,refraction (optics)
http://iconclass.org/49E253,,prism (optical instrument)
http://iconclass.org/49E254,,"concave mirror, burning-mirror"
http://iconclass.org/49E255,🔍⚙️,magnification
http://iconclass.org/49E271,⚛️,"elementary particles ~ nuclear, atomic and molecular physics"
http://iconclass.org/49E272,☢️⚙️ ,radioactivity
http://iconclass.org/49E273,☢️💥,nuclear reaction
http://iconclass.org/49E391,,alchemist at work
http://iconclass.org/49E392,⚗️🥇🔣 ,alchemistic symbols
http://iconclass.org/49E393,,alchemistic equipment
http://iconclass.org/49E394,,alchemistic substances
http://iconclass.org/49E395,,alchemistic processes
http://iconclass.org/49E811,,"popular laboratory device, used for demonstration"
http://iconclass.org/49G011,⚕️,Aesculapian sign
http://iconclass.org/49G012,,pentagram (medical symbol)
http://iconclass.org/49G211,,visiting the sick; sick person together with others
http://iconclass.org/49G231,,miraculous healing
http://iconclass.org/49G232,,(healing by) imposition of hands
http://iconclass.org/49G233,,spiritual healing
http://iconclass.org/49G251,,deterioration of sick person
http://iconclass.org/49G311,🚽🔍,examination of urine
http://iconclass.org/49G312,🌡️🤒,taking temperature of patient
http://iconclass.org/49G313,🤒👅🔍,examining the tongue of patient
http://iconclass.org/49G314,🤒🩺🔍,examining patient with stethoscope
http://iconclass.org/49G315,,percussing the body ~ medical examination
http://iconclass.org/49G316,🤒💓⌚,feeling pulse or heart-beat
http://iconclass.org/49G317,🧑‍⚕️✍️,physician writing (prescription)
http://iconclass.org/49G321,🧑‍⚕️🧻,applying dressing or bandage
http://iconclass.org/49G322,,"treatment by immobilization, sling, splint, plaster, etc."
http://iconclass.org/49G331,,"enema, squirt"
http://iconclass.org/49G341,,"bleeding, blood-letting with the aid of blood-suckers"
http://iconclass.org/49G342,,"cupping man (~ bleeding, blood-letting)"
http://iconclass.org/49G350,,'Chirurgia'
http://iconclass.org/49G351,,operating room
http://iconclass.org/49G352,,narcosis
http://iconclass.org/49G353,🪚🦵,amputation
http://iconclass.org/49G354,,transplantation ~ surgery
http://iconclass.org/49G361,📍⛲,"watering-place, spa"
http://iconclass.org/49G371,💉🚫🦠,vaccination
http://iconclass.org/49G372,,infusion ~ medicine
http://iconclass.org/49G373,,transfusion of blood
http://iconclass.org/49G381,🦴📷,X-ray examination
http://iconclass.org/49G431,🏥👨‍⚕️,male nurse ~ hospital
http://iconclass.org/49G441,🚑👈,ambulance
http://iconclass.org/49G511,🏠😷,quarantine
http://iconclass.org/49G611,🩸♻️,physiology and anatomy ~ circulatory system
http://iconclass.org/49G612,🫁♻️,physiology and anatomy ~ respiratory system
http://iconclass.org/49G613,,physiology and anatomy ~ alimentary tract (digestive system)
http://iconclass.org/49G614,,physiology and anatomy ~ skin
http://iconclass.org/49G615,,physiology and anatomy ~ endocrine system
http://iconclass.org/49G616,🍆🔬,physiology and anatomy ~ urogenital system
http://iconclass.org/49G617,,physiology and anatomy ~ locomotor system
http://iconclass.org/49G618,,physiology and anatomy ~ sense organs
http://iconclass.org/49G619,,"physiology and anatomy ~ nervous system, neurology"
http://iconclass.org/49G621,,dissection
http://iconclass.org/49G622,,anatomical models (usually series of five figures)
http://iconclass.org/49G711,🧠🔬📋,psychological test
http://iconclass.org/49G712,,graphological test
http://iconclass.org/49G721,🧠🔬🛋️,"psychoanalysis, 'on the couch'"
http://iconclass.org/49G811,,doctrine of signatures
http://iconclass.org/49G812,🧪⚕️,poison ~ medicine
http://iconclass.org/49G831,,pestle and mortar
http://iconclass.org/49G911,,"stone-operation, e.g.: by the witch of Malleghem"
http://iconclass.org/49G912,,quack extracting teeth or molars
http://iconclass.org/49G913,,other 'operations'
http://iconclass.org/49G914,🐍🕷️🍽️,"eating snakes, frogs, spiders, etc."
http://iconclass.org/49K321,,word
http://iconclass.org/49K322,,"phrase, sentence"
http://iconclass.org/49L111,,"secretary, scribe"
http://iconclass.org/49L112,,sharpening pen (quill)
http://iconclass.org/49L113,,erasing text
http://iconclass.org/49L141,✡️🔤,Hebrew script
http://iconclass.org/49L142,,Arabic script
http://iconclass.org/49L171,,historiated initial
http://iconclass.org/49L211,,"fancy hieroglyphs, 'hieroglyphica'"
http://iconclass.org/49L251,,rebus
http://iconclass.org/49L271,,"'huismerk', 'Hausmarke'"
http://iconclass.org/49L511,🪶🖊️,quill
http://iconclass.org/49L611,✒️💦,ink-blot
http://iconclass.org/49L641,📝,paper (writing material)
http://iconclass.org/49L642,📝🇪🇬,papyrus (writing material)
http://iconclass.org/49L643,📝🐄,"parchment, vellum (writing material)"
http://iconclass.org/49L644,,writing boards
http://iconclass.org/49L645,,writing tablets
http://iconclass.org/49L649,,other writing surfaces
http://iconclass.org/49L651,✉️🕯️,sealing wax
http://iconclass.org/49L711,,"'capsa', casket for scrolls"
http://iconclass.org/49LL71,,scroll - LL - scroll unfolded
http://iconclass.org/49LL72,,codex - LL - codex open
http://iconclass.org/49M121,🔤🖨️🔨,type-founder
http://iconclass.org/49M122,,type-setter
http://iconclass.org/49M123,🖨️,printer
http://iconclass.org/49M124,🖨️🔧,corrector ~ printing
http://iconclass.org/49M321,📖🖼️,book in which illustrations are essential
http://iconclass.org/49M322,,pamphlet ~ printed matter
http://iconclass.org/49M411,📔🖼️,frontispiece
http://iconclass.org/49M412,,vignette
http://iconclass.org/49M413,,printed historiated initial
http://iconclass.org/49M431,,device (trade-mark of printer or publisher)
http://iconclass.org/49M511,,"book-jacket, blurb"
http://iconclass.org/49MM32,,book - MM - book open
http://iconclass.org/51AA51,,"Exterior, Exteriority"
http://iconclass.org/51AA61,,Synthesis
http://iconclass.org/51BB51,,Ambivalence
http://iconclass.org/51BB61,,"Singularity, Uniqueness"
http://iconclass.org/51CC11,📈👍,"Positive Result, Good Result"
http://iconclass.org/51CC12,📉👎,"Negative Result, Bad Result"
http://iconclass.org/51CC13,,"Side-effect, Secondary Effect"
http://iconclass.org/51CC19,,"No Result, Lack of Result, Inefficacy, Futility"
http://iconclass.org/51DD11,☣️🤔,Contamination
http://iconclass.org/51EE11,🚫🤔,"Restriction, Limitation"
http://iconclass.org/51EE12,🛑🤔,Curtailment
http://iconclass.org/51F511,👶🤔,Immaturity
http://iconclass.org/51F521,,Precocity
http://iconclass.org/51F522,🤤⏳,Anticipation
http://iconclass.org/51F711,🔄,Cycle
http://iconclass.org/51FF51,🧓🤔,Oldness
http://iconclass.org/51FF52,⌚💤🤔,Lateness
http://iconclass.org/51H421,🥴🤔,Excess
http://iconclass.org/51HH11,➗🤔,Divisibility
http://iconclass.org/51HH41,,Insufficiency
http://iconclass.org/51II11,,Expansion
